zip code,foodsize,sumincome,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
77002,143,1080522400.0,16793.0,3757.0,5227914.0,128033.0,2.019,0.049,29.756845,-95.365652,4010.0
77003,21,218155070.0,10508.0,4713.0,6567398.0,67910.0,2.536,0.026,29.749808,-95.345901,5020.0
77004,21,1542829180.0,32692.0,16618.0,14960198.0,68772.0,5.776,0.027,29.724893,-95.363752,13260.0
77005,51,19505301570.0,25528.0,10299.0,9958464.0,720.0,3.845,0.0,29.718435,-95.423555,11270.0
77006,104,3169534870.0,19664.0,13602.0,5840517.0,0.0,2.255,0.0,29.74097,-95.391302,12480.0
77007,88,13921939400.0,30853.0,17708.0,20222292.0,233912.0,7.808,0.09,29.771545,-95.411083,20720.0
77008,45,6909173870.0,30482.0,16526.0,16886733.0,70547.0,6.52,0.027,29.798249,-95.416933,17220.0
77009,43,2551626840.0,38094.0,15705.0,16006249.0,20223.0,6.18,0.008,29.795344,-95.36759,17410.0
77010,12,75474850.0,366.0,471.0,319762.0,0.0,0.123,0.0,29.753624,-95.35981,400.0
77011,19,444745700.0,19547.0,6932.0,9243204.0,428466.0,3.569,0.165,29.743564,-95.30891,7430.0
77012,18,490160300.0,20719.0,6952.0,10172603.0,845645.0,3.928,0.327,29.718525,-95.274137,7700.0
77013,10,382347840.0,17602.0,6155.0,22650287.0,213335.0,8.745,0.082,29.791808,-95.228991,6960.0
77015,25,4230259130.0,53621.0,18461.0,54698749.0,5336242.0,21.119,2.06,29.76393,-95.173121,23480.0
77016,2,1345222200.0,26989.0,10593.0,25044017.0,158854.0,9.67,0.061,29.862532,-95.29998,13000.0
77017,32,1425269160.0,32561.0,10770.0,22520254.0,594364.0,8.695,0.229,29.689824,-95.252393,13530.0
77018,28,2428219870.0,25563.0,11837.0,17147259.0,71108.0,6.621,0.027,29.826448,-95.426267,12640.0
77019,49,12111376900.0,18944.0,10980.0,9115666.0,104823.0,3.52,0.04,29.75415,-95.409498,12410.0
77020,15,864016640.0,25464.0,9384.0,17881915.0,318808.0,6.904,0.123,29.773179,-95.314327,10570.0
77021,18,1103226670.0,26042.0,11810.0,15742462.0,65118.0,6.078,0.025,29.69843,-95.3569,12380.0
77022,35,1090927210.0,29557.0,10692.0,15125545.0,1147.0,5.84,0.0,29.83159,-95.379553,11760.0
77023,26,1086725890.0,28998.0,10646.0,14112378.0,235044.0,5.449,0.091,29.721825,-95.318275,11820.0
77024,85,46209197820.0,34775.0,15927.0,32905019.0,105158.0,12.705,0.041,29.771225,-95.511751,17380.0
77025,17,3087818960.0,26137.0,13662.0,11137251.0,91474.0,4.3,0.035,29.685706,-95.434764,12390.0
77026,7,800685190.0,23940.0,10111.0,16782149.0,8811.0,6.48,0.003,29.800187,-95.328888,9920.0
77027,55,3408485550.0,14331.0,10203.0,7412837.0,38825.0,2.862,0.015,29.740079,-95.446409,8300.0
77028,1,486481320.0,16808.0,6457.0,23752521.0,20826.0,9.171,0.008,29.825715,-95.286149,7860.0
77029,19,484028000.0,17814.0,6340.0,33648461.0,1020378.0,12.992,0.394,29.759665,-95.256251,7770.0
77030,19,863889470.0,10258.0,5759.0,6530028.0,118054.0,2.521,0.046,29.706787,-95.401748,5070.0
77031,16,362106670.0,15762.0,6305.0,8250354.0,18564.0,3.185,0.007,29.652205,-95.54623,7080.0
77032,20,274296680.0,12757.0,4343.0,57300665.0,205180.0,22.124,0.079,29.987805,-95.353412,5600.0
77033,4,1342270540.0,27965.0,10082.0,15476400.0,48319.0,5.975,0.019,29.66688,-95.335133,12870.0
77034,49,1993093610.0,33678.0,12778.0,35559329.0,638131.0,13.73,0.246,29.619365,-95.191192,16030.0
