zip code,foodsize,sumincome,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
10001,490,5164554840.0,21102.0,12476.0,1609401.0,0.0,0.621,0.0,40.750672,-73.997281,14080.0
10002,491,12993894430.0,81410.0,34541.0,2277670.0,0.0,0.879,0.0,40.715762,-73.986258,43370.0
10003,704,40973579980.0,56024.0,31078.0,1493004.0,0.0,0.576,0.0,40.731829,-73.989181,29810.0
10004,155,748971930.0,3089.0,2197.0,1449744.0,0.0,0.56,0.0,40.68863,-74.018244,2540.0
10005,69,8795241650.0,7135.0,5317.0,190416.0,0.0,0.074,0.0,40.705974,-74.008768,5890.0
10006,45,232373660.0,3011.0,1991.0,237784.0,0.0,0.092,0.0,40.709614,-74.012954,2450.0
10007,142,3105595800.0,6988.0,3143.0,423358.0,0.0,0.163,0.0,40.713864,-74.007806,3350.0
10009,302,10921382230.0,61347.0,31709.0,1596985.0,0.0,0.617,0.0,40.726408,-73.978636,33310.0
10010,261,14449557480.0,31834.0,18030.0,1011819.0,0.0,0.391,0.0,40.739045,-73.982232,17550.0
10011,483,54056739030.0,50984.0,33252.0,1705243.0,0.0,0.658,0.0,40.742002,-74.000594,30270.0
10012,420,7692068120.0,24090.0,14633.0,837301.0,0.0,0.323,0.0,40.725581,-73.998078,12810.0
10013,506,21830271610.0,27700.0,13460.0,1430444.0,0.0,0.552,0.0,40.720107,-74.004928,15030.0
10014,420,25220059140.0,31959.0,21689.0,1474952.0,0.0,0.569,0.0,40.733698,-74.007033,19040.0
10016,433,43847657270.0,54183.0,35617.0,1378326.0,0.0,0.532,0.0,40.74522,-73.978294,32020.0
10017,340,13780664250.0,16575.0,12875.0,829152.0,0.0,0.32,0.0,40.752347,-73.972417,12060.0
10018,359,3286632940.0,5229.0,4425.0,833392.0,0.0,0.322,0.0,40.755329,-73.993127,6260.0
10019,688,33534700410.0,42870.0,31404.0,1761259.0,0.0,0.68,0.0,40.765793,-73.987067,24490.0
10021,152,79453798800.0,43631.0,28628.0,1002597.0,0.0,0.387,0.0,40.769159,-73.95863,24090.0
10022,466,72200899950.0,31924.0,23485.0,1130199.0,0.0,0.436,0.0,40.758555,-73.967817,20130.0
10023,201,1.1027428195e+11,60998.0,39402.0,1270408.0,0.0,0.491,0.0,40.775921,-73.982607,33720.0
10024,198,79758721720.0,59283.0,33952.0,2221831.0,0.0,0.858,0.0,40.798452,-73.974414,30910.0
10025,231,49152814160.0,94600.0,47617.0,1946717.0,0.0,0.752,0.0,40.798601,-73.966623,46810.0
10026,85,2586193260.0,34003.0,15823.0,860745.0,0.0,0.332,0.0,40.80238,-73.952681,18150.0
10027,171,5560695350.0,59707.0,25071.0,2257092.0,0.0,0.871,0.0,40.811819,-73.953224,27370.0
10028,212,58032806170.0,45141.0,28139.0,813698.0,0.0,0.314,0.0,40.776426,-73.953493,25750.0
10029,215,8764806060.0,76003.0,31121.0,2136945.0,0.0,0.825,0.0,40.791698,-73.943876,34700.0
10030,48,1337684130.0,26999.0,12976.0,722465.0,0.0,0.279,0.0,40.818267,-73.942856,13700.0
10031,113,6237409050.0,56438.0,22604.0,1685544.0,0.0,0.651,0.0,40.825294,-73.950056,29630.0
10032,117,6399847990.0,57331.0,21417.0,1702842.0,0.0,0.657,0.0,40.838824,-73.942846,30160.0
10033,117,5024912720.0,53926.0,20116.0,1565761.0,0.0,0.605,0.0,40.850538,-73.933863,27000.0
10034,109,2859792200.0,38908.0,15671.0,2917184.0,0.0,1.126,0.0,40.86723,-73.924415,20370.0
10035,79,1595600580.0,33969.0,13935.0,3616216.0,0.0,1.396,0.0,40.795652,-73.929731,15110.0
10036,625,10070511690.0,24711.0,17958.0,1148108.0,0.0,0.443,0.0,40.75928,-73.989909,18300.0
10037,33,935043400.0,17416.0,9451.0,683722.0,0.0,0.264,0.0,40.812984,-73.937285,11160.0
10038,205,2721243540.0,20300.0,10211.0,770757.0,0.0,0.298,0.0,40.70932,-74.002532,12370.0
10039,32,1342782500.0,24527.0,10868.0,1199364.0,0.0,0.463,0.0,40.830856,-73.936069,13700.0
10040,75,3160075300.0,41905.0,16506.0,976162.0,0.0,0.377,0.0,40.858298,-73.93052,21240.0
10044,7,230109050.0,11661.0,4913.0,625938.0,0.0,0.242,0.0,40.76205,-73.949933,4280.0
10065,179,31474131340.0,32270.0,22754.0,1000544.0,0.0,0.386,0.0,40.764584,-73.963013,15890.0
10069,4,1699804140.0,5199.0,3146.0,269802.0,0.0,0.104,0.0,40.775978,-73.990528,2670.0
10075,95,24011433220.0,26121.0,16493.0,477958.0,0.0,0.185,0.0,40.773357,-73.956208,14320.0
10128,155,81573612920.0,60453.0,35240.0,1219025.0,0.0,0.471,0.0,40.78143,-73.949942,33260.0
10280,10,973850880.0,7853.0,4962.0,358650.0,0.0,0.138,0.0,40.708778,-74.016808,4180.0
10282,18,1334353530.0,4783.0,2484.0,226578.0,0.0,0.087,0.0,40.716651,-74.015375,2240.0
10301,109,2687301890.0,39706.0,16261.0,9476759.0,16101.0,3.659,0.006,40.627456,-74.094407,17770.0
10302,66,474657180.0,19088.0,6427.0,3093431.0,0.0,1.194,0.0,40.630688,-74.137776,7950.0
10303,36,1027247970.0,26337.0,8811.0,8125465.0,73296.0,3.137,0.028,40.629885,-74.17413,11900.0
10304,58,2947619140.0,42193.0,15467.0,10035690.0,19194.0,3.875,0.007,40.607994,-74.092859,19130.0
10305,99,3123340380.0,41749.0,16187.0,11011994.0,63394.0,4.252,0.024,40.596691,-74.074866,18890.0
10306,114,7217956340.0,55909.0,22017.0,19355176.0,152561.0,7.473,0.059,40.571768,-74.12595,26280.0
10307,31,503557530.0,14096.0,5354.0,5082132.0,17221.0,1.962,0.007,40.508321,-74.237137,6220.0
10308,56,2190419080.0,27357.0,10715.0,5110510.0,12006.0,1.973,0.005,40.551884,-74.147646,13420.0
10309,83,2783636510.0,32519.0,11686.0,17402201.0,108120.0,6.719,0.042,40.531515,-74.220971,14710.0
10310,57,1071068970.0,24962.0,9043.0,4650151.0,0.0,1.795,0.0,40.632648,-74.116148,11190.0
10312,79,10411169780.0,59304.0,22155.0,19887900.0,369053.0,7.679,0.142,40.545394,-74.180914,28790.0
10314,184,16461448770.0,85510.0,32533.0,35520695.0,1668621.0,13.715,0.644,40.599263,-74.165748,40120.0
10451,161,3889043360.0,45713.0,17779.0,2628487.0,3019.0,1.015,0.001,40.820479,-73.925084,22920.0
10452,104,9905900370.0,75371.0,25866.0,2550148.0,0.0,0.985,0.0,40.83739,-73.92343,36000.0
10453,97,10691683940.0,78309.0,27018.0,2372412.0,12725.0,0.916,0.005,40.852779,-73.912332,37240.0
10454,76,1865338100.0,37337.0,12772.0,2699702.0,0.0,1.042,0.0,40.805518,-73.91659,15700.0
10455,100,2380441110.0,39665.0,13851.0,1844518.0,0.0,0.712,0.0,40.81471,-73.908592,17590.0
10456,91,12524599550.0,86547.0,29651.0,2637787.0,0.0,1.018,0.0,40.829881,-73.90812,40140.0
10457,95,7980144490.0,70496.0,24364.0,2748734.0,0.0,1.061,0.0,40.84715,-73.898678,32280.0
10458,188,8491830010.0,79492.0,27806.0,2613249.0,0.0,1.009,0.0,40.862545,-73.888145,33740.0
10459,77,3344694030.0,47308.0,16496.0,2115928.0,0.0,0.817,0.0,40.825875,-73.892971,20970.0
10460,73,4535944420.0,57311.0,20706.0,3407078.0,0.0,1.315,0.0,40.841764,-73.879569,24590.0
10461,157,4415768300.0,50502.0,21127.0,6215148.0,0.0,2.4,0.0,40.847434,-73.840554,23650.0
10462,150,11563611810.0,75784.0,31331.0,3833088.0,11823.0,1.48,0.005,40.84328,-73.860389,38820.0
10463,127,9159236260.0,67970.0,30368.0,3745408.0,346374.0,1.446,0.134,40.880678,-73.90654,33490.0
10464,38,55130940.0,4534.0,2272.0,9070627.0,236605.0,3.502,0.091,40.867787,-73.79992,2120.0
10465,81,3431856160.0,42230.0,16889.0,8882828.0,118.0,3.43,0.0,40.823277,-73.825602,19520.0
10466,96,7601017640.0,67813.0,24854.0,5227062.0,5688.0,2.018,0.002,40.890964,-73.846239,32230.0
10467,157,14151284120.0,97060.0,37432.0,6035762.0,0.0,2.33,0.0,40.869953,-73.865696,44050.0
10468,102,9335685590.0,76103.0,26178.0,2784853.0,45100.0,1.075,0.017,40.868966,-73.899944,35610.0
10469,93,7379843690.0,66631.0,24078.0,6414680.0,0.0,2.477,0.0,40.86857,-73.848218,31710.0
10470,44,419623280.0,15293.0,6882.0,3689950.0,3918.0,1.425,0.002,40.889527,-73.87266,7420.0
10471,52,1699023140.0,22922.0,10054.0,6687174.0,28258.0,2.582,0.011,40.898814,-73.90331,9820.0
10472,109,5758892110.0,66358.0,23386.0,2720837.0,0.0,1.051,0.0,40.829556,-73.869359,28040.0
10473,31,5535474410.0,58519.0,21323.0,5645604.0,13868.0,2.18,0.005,40.81869,-73.858474,27590.0
10474,36,178498210.0,12281.0,3985.0,3970898.0,0.0,1.533,0.0,40.810614,-73.884412,4840.0
10475,58,4222151710.0,40931.0,18911.0,4463108.0,250564.0,1.723,0.097,40.875259,-73.823817,22230.0
11001,2,2493813070.0,26883.0,9598.0,5775030.0,34951.0,2.23,0.013,40.723317,-73.704949,13660.0
11003,1,4510319620.0,41356.0,12850.0,10723323.0,113541.0,4.14,0.044,40.699176,-73.706166,23600.0
11004,32,453219800.0,14016.0,5152.0,2460789.0,0.0,0.95,0.0,40.746198,-73.711469,6610.0
11005,2,56937070.0,1806.0,1852.0,472584.0,0.0,0.182,0.0,40.756578,-73.714178,1430.0
11040,19,6718770270.0,40782.0,13900.0,12388380.0,73573.0,4.783,0.028,40.745347,-73.680292,21060.0
11101,275,2260718870.0,25484.0,12317.0,6773846.0,301002.0,2.615,0.116,40.74713,-73.939736,15810.0
11102,88,2893584770.0,34133.0,15499.0,2092161.0,7099.0,0.808,0.003,40.772884,-73.926295,19440.0
11103,221,3477187980.0,38780.0,18518.0,1841677.0,0.0,0.711,0.0,40.762574,-73.913447,20920.0
11104,111,1823817460.0,27232.0,12532.0,1010093.0,0.0,0.39,0.0,40.744617,-73.920214,15270.0
11105,135,3218586130.0,36688.0,17416.0,4226734.0,0.0,1.632,0.0,40.778877,-73.906769,19720.0
11106,168,3878941990.0,38875.0,18296.0,2219776.0,36652.0,0.857,0.014,40.762211,-73.931528,22190.0
11109,7,508118600.0,3523.0,2127.0,103922.0,25703.0,0.04,0.01,40.745115,-73.956928,3760.0
11201,383,32052899850.0,51128.0,26390.0,3680347.0,14550.0,1.421,0.006,40.693682,-73.989693,30090.0
11203,136,10356875010.0,76174.0,28087.0,5557080.0,0.0,2.146,0.0,40.649591,-73.934371,37250.0
11204,129,7584355820.0,78134.0,28196.0,4115356.0,0.0,1.589,0.0,40.618779,-73.984826,32620.0
11205,149,2707510370.0,40366.0,16409.0,2459479.0,0.0,0.95,0.0,40.694698,-73.966301,18420.0
11206,171,9547615270.0,81677.0,29941.0,3715223.0,0.0,1.434,0.0,40.701954,-73.942358,36070.0
11207,136,12920750350.0,93386.0,34202.0,6917454.0,0.0,2.671,0.0,40.670747,-73.894209,42090.0
11208,113,13825043630.0,94469.0,32069.0,8951522.0,0.0,3.456,0.0,40.669689,-73.871371,43260.0
11209,259,10955845890.0,68853.0,34679.0,5599867.0,0.0,2.162,0.0,40.621982,-74.030323,34210.0
11210,95,7256020400.0,62008.0,22476.0,4250381.0,0.0,1.641,0.0,40.628147,-73.946324,29550.0
11211,391,8220660470.0,90117.0,37180.0,5952757.0,191943.0,2.298,0.074,40.712597,-73.953098,30950.0
11212,115,10700508540.0,84500.0,31847.0,3983224.0,0.0,1.538,0.0,40.662936,-73.913029,37770.0
11213,102,6134812490.0,63767.0,24974.0,2825709.0,0.0,1.091,0.0,40.671078,-73.936336,29040.0
11214,189,10760791330.0,88630.0,35261.0,5658758.0,7472.0,2.185,0.003,40.599148,-73.99609,39440.0
11215,349,22681261140.0,63488.0,30073.0,5641351.0,54168.0,2.178,0.021,40.662688,-73.98674,33670.0
11216,176,6124945790.0,54316.0,25964.0,2422753.0,0.0,0.935,0.0,40.680768,-73.949316,28330.0
11217,273,5572209200.0,35881.0,17581.0,1944333.0,8495.0,0.751,0.003,40.682306,-73.978099,18370.0
11218,146,8138532280.0,75220.0,26598.0,3699262.0,0.0,1.428,0.0,40.643476,-73.976043,33180.0
11219,113,8441738550.0,92221.0,28693.0,3838518.0,0.0,1.482,0.0,40.632667,-73.996669,33720.0
11220,339,21165637990.0,99598.0,31045.0,4639238.0,0.0,1.791,0.0,40.641221,-74.016863,53370.0
11221,119,10470371080.0,78895.0,31784.0,3582802.0,0.0,1.383,0.0,40.69134,-73.927879,37500.0
11222,205,4558985060.0,36934.0,18756.0,3947645.0,211281.0,1.524,0.082,40.72779,-73.947605,22420.0
11223,185,7648588900.0,78731.0,32407.0,5372270.0,0.0,2.074,0.0,40.597139,-73.973428,31960.0
11224,88,2594666880.0,47621.0,20768.0,3999168.0,91783.0,1.544,0.035,40.577372,-73.988706,19640.0
11225,126,6981258780.0,56829.0,23588.0,2289249.0,0.0,0.884,0.0,40.663046,-73.954219,30480.0
