zip code,foodsize,sumincome,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
10001,490,1938420120.0,40.750672,-73.997281,5460.0
10002,491,1520248920.0,40.715762,-73.986258,27660.0
10003,704,1584507120.0,40.731829,-73.989181,16080.0
10004,155,1358491320.0,40.68863,-74.018244,11460.0
10005,69,1384075380.0,40.705974,-74.008768,9780.0
10006,45,10563246720.0,40.709614,-74.012954,21240.0
10007,142,3389295000.0,40.713864,-74.007806,7800.0
10009,302,1376086320.0,40.726408,-73.978636,15120.0
10010,261,1096727040.0,40.739045,-73.982232,10320.0
10011,483,882343800.0,40.742002,-74.000594,7800.0
10012,420,2697654240.0,40.725581,-73.998078,10980.0
10013,506,154366560.0,40.720107,-74.004928,1620.0
10014,420,888820020.0,40.733698,-74.007033,21780.0
10016,433,955574400.0,40.74522,-73.978294,9600.0
10017,340,942521160.0,40.752347,-73.972417,8040.0
10018,359,5577598800.0,40.755329,-73.993127,15480.0
10019,688,3123756480.0,40.765793,-73.987067,6240.0
10021,152,25290572400.0,40.769159,-73.95863,65400.0
10022,466,7196476320.0,40.758555,-73.967817,26640.0
10023,201,1884161520.0,40.775921,-73.982607,11460.0
10024,198,1500431760.0,40.798452,-73.974414,8460.0
10025,231,12577440.0,40.798601,-73.966623,480.0
10026,85,6877857480.0,40.80238,-73.952681,57720.0
10027,171,7595070000.0,40.811819,-73.953224,35400.0
10028,212,4386474900.0,40.776426,-73.953493,20700.0
10029,215,2411868960.0,40.791698,-73.943876,12960.0
10030,48,9090785280.0,40.818267,-73.942856,20040.0
10031,113,1998495000.0,40.825294,-73.950056,5340.0
10032,117,3458450520.0,40.838824,-73.942846,39060.0
10033,117,3291083040.0,40.850538,-73.933863,23520.0
10034,109,972337380.0,40.86723,-73.924415,9780.0
10035,79,321637440.0,40.795652,-73.929731,4740.0
10036,625,253399680.0,40.75928,-73.989909,3480.0
10037,33,16381080.0,40.812984,-73.937285,360.0
10038,205,6218449560.0,40.70932,-74.002532,54660.0
10039,32,5652039060.0,40.830856,-73.936069,30780.0
10040,75,2394716160.0,40.858298,-73.93052,15360.0
10044,7,1778735400.0,40.76205,-73.949933,29940.0
10065,179,390116700.0,40.764584,-73.963013,5220.0
10069,4,10394843040.0,40.775978,-73.990528,41640.0
10075,95,10905862620.0,40.773357,-73.956208,42780.0
10128,155,982534140.0,40.78143,-73.949942,22260.0
10280,10,1583872920.0,40.708778,-74.016808,12420.0
10282,18,6339383280.0,40.716651,-74.015375,16560.0
10301,109,9670500.0,40.627456,-74.094407,420.0
10302,66,4125600.0,40.630688,-74.137776,1440.0
10303,36,5510400.0,40.629885,-74.17413,960.0
10304,58,8489700.0,40.607994,-74.092859,900.0
10305,99,7701120.0,40.596691,-74.074866,720.0
10306,114,31884000.0,40.571768,-74.12595,1200.0
10307,31,1522080.0,40.508321,-74.237137,180.0
10308,56,7306200.0,40.551884,-74.147646,1800.0
10309,83,5409600.0,40.531515,-74.220971,960.0
10310,57,893700.0,40.632648,-74.116148,300.0
10312,79,366720.0,40.545394,-74.180914,120.0
10314,184,8792792280.0,40.599263,-74.165748,63540.0
10451,161,489378240.0,40.820479,-73.925084,3120.0
10452,104,4370133240.0,40.83739,-73.92343,44040.0
10453,97,5961919380.0,40.852779,-73.912332,31620.0
10454,76,2083923240.0,40.805518,-73.91659,14280.0
10455,100,936362520.0,40.81471,-73.908592,8040.0
10456,91,2596738680.0,40.829881,-73.90812,10740.0
10457,95,427801440.0,40.84715,-73.898678,2640.0
10458,188,6088387620.0,40.862545,-73.888145,53340.0
10459,77,8172626340.0,40.825875,-73.892971,36780.0
10460,73,5122038240.0,40.841764,-73.879569,22320.0
10461,157,3486321300.0,40.847434,-73.840554,15540.0
10462,150,12458003040.0,40.84328,-73.860389,23520.0
10463,127,987247320.0,40.880678,-73.90654,4440.0
10464,38,6941418240.0,40.867787,-73.79992,56460.0
10465,81,9235431240.0,40.823277,-73.825602,39180.0
10466,96,4742095620.0,40.890964,-73.846239,21540.0
10467,157,2966042580.0,40.869953,-73.865696,14340.0
10468,102,11088078600.0,40.868966,-73.899944,22200.0
10469,93,846098400.0,40.86857,-73.848218,4200.0
10470,44,3764297760.0,40.889527,-73.87266,38820.0
10471,52,7814527560.0,40.898814,-73.90331,36360.0
10472,109,1775646600.0,40.829556,-73.869359,13260.0
10473,31,550415520.0,40.81869,-73.858474,6180.0
10474,36,836209620.0,40.810614,-73.884412,6180.0
10475,58,29207100.0,40.875259,-73.823817,780.0
11001,2,1153689120.0,40.723317,-73.704949,8940.0
11003,1,178967700.0,40.699176,-73.706166,1740.0
11004,32,3340442820.0,40.746198,-73.711469,39660.0
11005,2,2414359080.0,40.756578,-73.714178,20040.0
11040,19,175883400.0,40.745347,-73.680292,9240.0
11101,275,57769740.0,40.74713,-73.939736,3060.0
11102,88,75532500.0,40.772884,-73.926295,2700.0
11103,221,60322800.0,40.762574,-73.913447,2040.0
11104,111,132739140.0,40.744617,-73.920214,2460.0
11105,135,4485300.0,40.778877,-73.906769,300.0
