zip code,foodsize,sumincome,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
98001,93,1502592600.0,31911.0,11249.0,48144696.0,824774.0,18.589,0.318,47.309496,-122.264469,10200.0
98002,147,5134437660.0,31647.0,13480.0,18530037.0,338922.0,7.154,0.131,47.308286,-122.216812,15180.0
98003,262,186545700.0,44151.0,18436.0,30089472.0,288168.0,11.618,0.111,47.307713,-122.315773,1980.0
98004,263,1703128320.0,27946.0,16568.0,18200338.0,4178457.0,7.027,1.613,47.618337,-122.205341,29340.0
98005,78,2397720600.0,17714.0,8070.0,19429635.0,18305.0,7.502,0.007,47.614533,-122.168798,19800.0
98006,89,1759155360.0,36364.0,13891.0,27685306.0,1941389.0,10.689,0.75,47.557627,-122.151005,13080.0
98007,122,1237799640.0,24889.0,10996.0,11341201.0,25498.0,4.379,0.01,47.613825,-122.144365,9240.0
98008,52,5080837380.0,24411.0,9552.0,14250591.0,7369624.0,5.502,2.845,47.605797,-122.099118,15060.0
98010,13,306309600.0,5025.0,2017.0,38991722.0,2630485.0,15.055,1.016,47.312036,-122.000418,12960.0
98011,73,315540000.0,29212.0,12646.0,21201057.0,0.0,8.186,0.0,47.753335,-122.201968,7200.0
98014,16,2330962620.0,6765.0,2631.0,117346593.0,4626219.0,45.308,1.786,47.660445,-121.891613,10020.0
98019,32,1236921840.0,10725.0,3907.0,197687698.0,2115521.0,76.328,0.817,47.734333,-121.855307,9240.0
98022,65,13408080.0,20987.0,9179.0,1051343227.0,6351560.0,405.926,2.452,47.216372,-121.912906,2760.0
98023,66,17315760.0,47510.0,18026.0,26727719.0,3607159.0,10.32,1.393,47.311414,-122.36291,1680.0
98024,11,19448340.0,5650.0,2246.0,61945438.0,1348984.0,23.917,0.521,47.573424,-121.899182,1380.0
98027,137,292532400.0,26141.0,11248.0,144495296.0,2939416.0,55.79,1.135,47.493732,-121.998724,1800.0
98028,38,281582400.0,20419.0,8566.0,14667571.0,1856135.0,5.663,0.717,47.75568,-122.248076,13200.0
98029,55,259847280.0,24348.0,10222.0,23189927.0,42596.0,8.954,0.016,47.557085,-122.007748,6540.0
98030,88,267908100.0,33769.0,12739.0,18448814.0,220436.0,7.123,0.085,47.368522,-122.197976,5100.0
98031,63,316761120.0,36581.0,12846.0,19424908.0,256402.0,7.5,0.099,47.405479,-122.195772,4680.0
98032,250,3871103040.0,33853.0,14451.0,43315933.0,761178.0,16.724,0.294,47.391942,-122.257192,12720.0
98033,167,16377981360.0,34338.0,16615.0,24062601.0,4422742.0,9.291,1.708,47.675982,-122.193578,9840.0
98034,141,1825044000.0,40407.0,17880.0,23633758.0,4377929.0,9.125,1.69,47.715769,-122.213748,31200.0
98038,81,10155453000.0,31171.0,11387.0,172206702.0,1011079.0,66.489,0.39,47.419378,-121.958008,21000.0
98039,3,1694131260.0,2971.0,1163.0,3737877.0,11129640.0,1.443,4.297,47.631695,-122.240405,4980.0
98040,48,482566560.0,22699.0,9930.0,16370442.0,17583045.0,6.321,6.789,47.567716,-122.232776,15960.0
98042,82,481269240.0,43673.0,15820.0,73577362.0,3128023.0,28.408,1.208,47.367737,-122.117029,6840.0
98045,61,121606680.0,13888.0,5536.0,872796478.0,15652767.0,336.989,6.044,47.390316,-121.606826,1560.0
98047,9,89817600.0,6339.0,2322.0,6277098.0,74330.0,2.424,0.029,47.261769,-122.248889,3840.0
98051,1,809186400.0,3270.0,1304.0,132339462.0,1663208.0,51.097,0.642,47.34621,-121.881291,3600.0
98052,301,1031395440.0,58442.0,25674.0,52053966.0,2151988.0,20.098,0.831,47.68099,-122.120531,23460.0
98053,26,1612515600.0,18784.0,7652.0,73465062.0,461728.0,28.365,0.178,47.669312,-122.010131,16200.0
98055,33,1338643200.0,21904.0,9498.0,12373996.0,249945.0,4.778,0.097,47.446982,-122.201521,9600.0
98056,71,8752532760.0,32489.0,13746.0,19466244.0,4020104.0,7.516,1.552,47.512527,-122.190248,19560.0
98057,195,788416200.0,10613.0,6049.0,15780776.0,171884.0,6.093,0.066,47.47202,-122.2219,3960.0
98058,40,255719160.0,41938.0,16120.0,49037425.0,2139998.0,18.933,0.826,47.442737,-122.123973,11640.0
98059,72,336911760.0,34463.0,13004.0,51737366.0,147702.0,19.976,0.057,47.499676,-122.113291,7380.0
98065,49,2307421560.0,12699.0,4556.0,191904766.0,2249153.0,74.095,0.868,47.584223,-121.791951,19380.0
98070,32,9318537600.0,10624.0,5552.0,95633751.0,33221105.0,36.924,12.827,47.407196,-122.473322,70080.0
98072,144,5347808400.0,22312.0,9091.0,46958893.0,70284.0,18.131,0.027,47.760785,-122.130531,22800.0
98074,32,27135780840.0,25748.0,8942.0,27654818.0,4010174.0,10.678,1.548,47.622542,-122.04421,34020.0
98075,17,35253412920.0,20715.0,7005.0,24552292.0,4217658.0,9.48,1.628,47.586092,-122.037436,21780.0
98092,24,2150074500.0,39816.0,14935.0,115596899.0,1840608.0,44.632,0.711,47.290287,-122.126874,9660.0
98101,449,125833500.0,10238.0,9226.0,1344752.0,271084.0,0.519,0.105,47.610902,-122.336422,4500.0
98102,107,135756000.0,20756.0,14289.0,3396112.0,644264.0,1.311,0.249,47.63714,-122.321891,3600.0
98103,305,101312640.0,45911.0,24128.0,12005476.0,1705646.0,4.635,0.659,47.678255,-122.338152,2640.0
98104,421,1698681600.0,13095.0,7711.0,2007034.0,252657.0,0.775,0.098,47.601884,-122.329459,8400.0
98105,303,11068525440.0,43924.0,17161.0,10689306.0,6434743.0,4.127,2.484,47.659861,-122.284977,10080.0
98106,70,472482360.0,22873.0,9990.0,14236532.0,841740.0,5.497,0.325,47.544034,-122.349874,16140.0
98107,222,541747440.0,21147.0,12360.0,5704026.0,704217.0,2.202,0.272,47.667527,-122.377551,9360.0
98108,115,518425920.0,22374.0,8194.0,19384665.0,964749.0,7.484,0.372,47.534862,-122.305794,7080.0
98109,331,522954000.0,20715.0,13906.0,5178191.0,1079071.0,1.999,0.417,47.631863,-122.344267,6000.0
98112,93,211964640.0,21077.0,10897.0,8187984.0,3833109.0,3.161,1.48,47.63281,-122.288511,10740.0
98115,152,279562260.0,46206.0,21623.0,17051603.0,5468537.0,6.584,2.111,47.685746,-122.281589,4380.0
98116,137,1556851560.0,22241.0,11961.0,7657204.0,1880414.0,2.956,0.726,47.573933,-122.400175,8220.0
98117,84,386361360.0,31365.0,14213.0,10214490.0,1569166.0,3.944,0.606,47.687761,-122.38487,2520.0
98118,163,3110643000.0,42731.0,16162.0,16178230.0,6840313.0,6.246,2.641,47.540246,-122.268545,40500.0
98119,81,4328302680.0,21039.0,11592.0,6308526.0,1626237.0,2.436,0.628,47.638679,-122.370946,26520.0
98121,207,3635089920.0,12628.0,10149.0,1141212.0,546001.0,0.441,0.211,47.615192,-122.350581,15840.0
98122,286,19988634600.0,31454.0,17123.0,5992910.0,3155568.0,2.314,1.218,47.611046,-122.293207,29700.0
98125,136,5295645600.0,37081.0,18677.0,13960901.0,3976391.0,5.39,1.535,47.716513,-122.295829,29400.0
98126,54,4467088080.0,20698.0,9805.0,7963648.0,1777439.0,3.075,0.686,47.555647,-122.37959,20880.0
98133,179,4642309560.0,44555.0,21903.0,18378984.0,178301.0,7.096,0.069,47.740475,-122.342869,17880.0
98134,139,37286375520.0,644.0,236.0,8738521.0,1888144.0,3.374,0.729,47.577599,-122.338045,39840.0
98136,27,553747200.0,14770.0,7533.0,5954028.0,2163641.0,2.299,0.835,47.536464,-122.394409,18120.0
98144,129,1486756800.0,26881.0,12660.0,8818482.0,4545367.0,3.405,1.755,47.585621,-122.292492,12060.0
98146,31,4775227020.0,25922.0,10222.0,12045888.0,1761080.0,4.651,0.68,47.500058,-122.357848,14580.0
98148,56,186753000.0,10010.0,4588.0,8117264.0,0.0,3.134,0.0,47.444098,-122.324859,10500.0
98155,65,567900.0,32778.0,13905.0,19604378.0,1713431.0,7.569,0.662,47.754413,-122.300477,300.0
98166,99,256793580.0,20301.0,8953.0,14685852.0,4037490.0,5.67,1.559,47.451576,-122.352986,12060.0
98168,96,294602460.0,33734.0,12541.0,23030102.0,426890.0,8.892,0.165,47.489569,-122.29996,5340.0
98177,23,12070904400.0,19030.0,8078.0,14752872.0,3576381.0,5.696,1.381,47.742239,-122.376608,12240.0
98178,15,123316440.0,24092.0,9290.0,12564278.0,2636151.0,4.851,1.018,47.499387,-122.243851,8220.0
98188,241,600984720.0,23111.0,9959.0,19551348.0,755259.0,7.549,0.292,47.447335,-122.273092,5040.0
98198,78,951888000.0,34584.0,14328.0,20167178.0,2323850.0,7.787,0.897,47.391324,-122.314976,9600.0
98199,45,852456960.0,19686.0,9810.0,10815353.0,3889313.0,4.176,1.502,47.651371,-122.407349,7680.0
